Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6",805,3,1uF,
C3,805,1,4.7uF,
"C4, C5, C7",805,3,0.1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D7, D8, D9",D_SOD-123,68,1N4148W,C81598
F1,1206,1,1A,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
MX1,MX-Hotswap-1U,1,Esc,C41430893
MX10,MX-Hotswap-1U,1,9,C41430894
MX11,MX-Hotswap-1U,1,0,C41430895
MX12,MX-Hotswap-1U,1,-,C41430896
MX13,MX-Hotswap-1U,1,#ERROR!,C41430897
MX14,MX-Hotswap-2U,1,Backspace,C41430898
MX15,MX-Hotswap-1U,1,`,C41430899
MX16,MX-Hotswap-1.5U,1,Tab,C41430900
MX17,MX-Hotswap-1U,1,Q,C41430901
MX18,MX-Hotswap-1U,1,W,C41430902
MX19,MX-Hotswap-1U,1,E,C41430903
MX2,MX-Hotswap-1U,1,1,C41430904
MX20,MX-Hotswap-1U,1,R,C41430905
MX21,MX-Hotswap-1U,1,T,C41430906
MX22,MX-Hotswap-1U,1,Y,C41430907
MX23,MX-Hotswap-1U,1,U,C41430908
MX24,MX-Hotswap-1U,1,I,C41430909
MX25,MX-Hotswap-1U,1,O,C41430910
MX26,MX-Hotswap-1U,1,P,C41430911
MX27,MX-Hotswap-1U,1,[,C41430912
MX28,MX-Hotswap-1U,1,],C41430913
MX29,MX-Hotswap-1.5U,1,\,C41430914
MX3,MX-Hotswap-1U,1,2,C41430915
MX30,MX-Hotswap-1U,1,Del,C41430916
MX31,MX-Hotswap-1.75U,1,Capslock,C41430917
MX32,MX-Hotswap-1U,1,A,C41430918
MX33,MX-Hotswap-1U,1,S,C41430919
MX34,MX-Hotswap-1U,1,D,C41430920
MX35,MX-Hotswap-1U,1,F,C41430921
MX36,MX-Hotswap-1U,1,G,C41430922
MX37,MX-Hotswap-1U,1,H,C41430923
MX38,MX-Hotswap-1U,1,J,C41430924
MX39,MX-Hotswap-1U,1,K,C41430925
MX4,MX-Hotswap-1U,1,3,C41430926
MX40,MX-Hotswap-1U,1,L,C41430927
MX41,MX-Hotswap-1U,1,;,C41430928
MX42,MX-Hotswap-1U,1,,C41430929
MX43,MX-Hotswap-2.25U,1,Enter,C41430930
MX44,MX-Hotswap-1U,1,Pgup,C41430931
MX45,MX-Hotswap-2.25U,1,Shift,C41430932
MX46,MX-Hotswap-1U,1,Z,C41430933
MX47,MX-Hotswap-1U,1,X,C41430934
MX48,MX-Hotswap-1U,1,C,C41430935
MX49,MX-Hotswap-1U,1,V,C41430936
MX5,MX-Hotswap-1U,1,4,C41430937
MX50,MX-Hotswap-1U,1,B,C41430938
MX51,MX-Hotswap-1U,1,N,C41430939
MX52,MX-Hotswap-1U,1,M,C41430940
MX53,MX-Hotswap-1U,1,",",C41430941
MX54,MX-Hotswap-1U,1,.,C41430942
MX55,MX-Hotswap-1U,1,/,C41430943
MX56,MX-Hotswap-1.75U,1,Shift,C41430944
MX57,MX-Hotswap-1U,1,Arrow_Up,C41430945
MX58,MX-Hotswap-1U,1,Pgdown,C41430946
MX59,MX-Hotswap-1.25U,1,Ctrl,C41430947
MX6,MX-Hotswap-1U,1,5,C41430948
MX60,MX-Hotswap-1.25U,1,Win,C41430949
MX61,MX-Hotswap-1.25U,1,Alt,C41430950
MX62,MX-Hotswap-6.25U,1,Space,C41430951
MX63,MX-Hotswap-1U,1,R_Alt,C41430952
MX64,MX-Hotswap-1U,1,Fn,C41430953
MX65,MX-Hotswap-1U,1,R_Ctrl,C41430954
MX66,MX-Hotswap-1U,1,Arrow_Left,C41430955
MX67,MX-Hotswap-1U,1,Arrow_Down,C41430956
MX68,MX-Hotswap-1U,1,Arrow_Right,C41430957
MX7,MX-Hotswap-1U,1,6,C41430958
MX8,MX-Hotswap-1U,1,7,C41430959
MX9,MX-Hotswap-1U,1,8,C41430960
"R1, R2",805,2,5.1K,
R3,805,1,10k,
SW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,C2939726
SW2,SW_SPST_TL3342,1,SW_Push,C318884
U2,SOT-23-3,1,XC6206P332MR,
U3,LQFP-48_7x7mm_P0.5mm,1,STM32G0B1CBTx,C81720
U4,SOT-23-6,1,SRV05-4,C85364